### DEV ###

Starter|eevee,delta-bulbasaur,delta-charmander,delta-squirtle
--Telnor Town|d1_e|rival|Damian
Shade Forest|caterpie,pikachu,weedle,nidoran-f,nidoran-m,poliwag,gastly,magikarp,gyarados,remoraid,octillery,mantyke,patrat,tympole,seismitoad
Telnor Cave|diglett,geodude,onix,cubone,magikarp,gyarados,wooper,qwilfish,nosepass,baltoy,shellos,roggenrola,tympole,seismitoad,delta-diglett
Route 1|meowth,ponyta,magikarp,gyarados,hoppip,lotad,barboach,whiscash,oshawott,blitzle,bunnelby,skrelp,dragalge,delta-dwebble-cake
Dark Cave|zubat,golbat,abra,kadabra,geodude,graveler,krabby,kingler,qwilfish,poochyena,mightyena,carvanha,sharpedo,corphish,crawdaunt,purrloin,liepard,ducklett
Midna Garden|tentacool,shellder,cloyster,exeggcute,magikarp,gyarados,dratini,surskit,piplup,stunky,heatmor,durant,cobalion
Midna Mine|zubat,poliwag,geodude,seel,goldeen,seaking,shuckle,phanpy,nosepass,clamperl,huntail,gorebyss,luvdisc,roggenrola,woobat,drilbur,dwebble,carbink
Midna Town|gastly,corsola,elekid,carvanha,sharpedo,buizel,finneon,lumineon,tympole,seismitoad
--Midna Town|d2_e|rival|Damian
--Midna Town|n1_e|rival|Nora
Route 2|krabby,staryu,totodile,marill,corsola,remoraid,octillery,corphish,bidoof,buizel
Ancient Ruins|sandshrew,tentacool,geodude,magikarp,gyarados,remoraid,tyrogue,riolu,mantyke,alomomola,delta-geodude
--Ancient Ruins|abym_e|mini-boss|Abyssal Cultist
Cyan Cavern|geodude,magnemite,onix,magikarp,gyarados,wooper,shuckle,whismur,makuhita,nosepass,sableye,relicanth,panpour,roggenrola,dwebble,pancham,carbink
Broadcast Tower|latios,axew,deino,delta-grimer,delta-solosis
Suntouched Exitway|magnemite,shellder,cloyster,onix,magikarp,gyarados,dratini,shuckle,whismur,makuhita,piplup,roggenrola,timburr,skrelp,clauncher
Suntouched City|machop,krabby,zapdos,natu,corsola,remoraid,octillery,corphish,delta-aipom
--Suntouched Gym|1_e|gym-leader|Orion

Route 3|charmander,tentacool,dewgong,krabby,staryu,sudowoodo,mantine,seedot,nuzleaf,ralts,kirlia,mantyke,pansage,throh,sawk,petilil,basculin,delta-scyther
Metchi Town|tentacool,dewgong,krabby,staryu,marill,basculin,alomomola,delta-ditto
--Metchi Town|n2_e|rival|nora
Friend Safari|caterpie,charmeleon,ekans,ivysaur,pidgey,pikachu,rattata,spearow,wartortle,weedle,sandshrew,nidorina,nidoqueen,nidorino,nidoking,clefairy,ninetales,jigglypuff,golbat,oddish,gloom,paras,venonat,diglett,meowth,psyduck,mankey,growlithe,poliwhirl,abra,machoke,weepinbell,tentacool,graveler,ponyta,slowpoke,magnemite,magneton,farfetchd,doduo,seel,muk,shellder,haunter,onix,drowzee,krabby,voltorb,exeggcute,cubone,lickitung,koffing,rhydon,chansey,tangela,kangaskhan,seadra,goldeen,staryu,mr.-mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,lapras,ditto,eevee,jolteon,porygon,omanyte,kabuto,aerodactyl,dragonair,bayleef,quilava,croconaw,sentret,hoothoot,ledyba,spinarak,chinchou,togetic,natu,flaaffy,marill,sudowoodo,hoppip,aipom,sunkern,yanma,wooper,murkrow,misdreavus,unown,girafarig,pineco,dunsparce,gligar,snubbull,qwilfish,scizor,shuckle,heracross,sneasel,teddiursa,slugma,piloswine,corsola,remoraid,delibird,skarmory,houndour,phanpy,stantler,smeargle,tyrogue,miltank,pupitar,grovyle,combusken,marshtomp,poochyena,zigzagoon,wurmple,lotad,nuzleaf,taillow,wingull,kirlia,surskit,shroomish,vigoroth,nincada,shedinja,loudred,makuhita,nosepass,skitty,sableye,mawile,lairon,meditite,electrike,plusle,minun,volbeat,illumise,roselia,gulpin,carvanha,wailmer,numel,torkoal,spoink,spinda,vibrava,cacnea,swablu,zangoose,seviper,lunatone,solrock,barboach,corphish,baltoy,lileep,anorith,feebas,castform,shuppet,dusclops,tropius,chimecho,wynaut,snorunt,sealeo,clamperl,luvdisc,shelgon,metang,grotle,monferno,prinplup,starly,bidoof,luxio,cranidos,shieldon,burmy,combee,pachirisu,buizel,cherubi,shellos,drifloon,buneary,glameow,stunky,bronzor,chatot,spiritomb,gabite,riolu,hippopotas,skorupi,croagunk,carnivine,mantyke,snover,leafeon,rotom,servine,pignite,dewott,patrat,herdier,purrloin,pansage,pansear,panpour,munna,pidove,blitzle,boldore,woobat,drilbur,audino,gurdurr,tympole,palpitoad,throh,sawk,sewaddle,swadloon,whirlipede,cottonee,petilil,basculin,krokorok,darumaka,maractus,dwebble,scraggy,sigilyph,yamask,tirtouga,archen,trubbish,zorua,minccino,gothorita,duosion,ducklett,vanillish,deerling,emolga,karrablast,foongus,frillish,alomomola,joltik,ferroseed,klang,eelektrik,elgyem,lampent,fraxure,cubchoo,cryogonal,shelmet,stunfisk,mienfoo,druddigon,golett,pawniard,bouffalant,rufflet,vullaby,heatmor,durant,zweilous,larvesta,quilladin,braixen,frogadier,bunnelby,fletchinder,scatterbug,litleo,floette,gogoat,pancham,furfrou,espurr,doublade,spritzee,swirlix,inkay,binacle,skrelp,clauncher,helioptile,tyrunt,amaura,sylveon,hawlucha,dedenne,carbink,sliggoo,klefki,phantump,pumpkaboo,bergmite,noibat
Route 4|fearow,squirtle,poliwhirl,abra,ponyta,doduo,shellder,krabby,staryu,cyndaquil,chinchou,hoppip,skiploom,qwilfish,corsola,mudkip,wingull,barboach,mantyke,panpour,minccino,ducklett,frillish,furfrou,delta-ralts,delta-sunkern
